datetime,vol,vwap,open,close,high,low,t,n,hourly_vwap,hourly_liquidity
2010-01-03 17:00:00,1348,149.931638333333,149.71,149.83,150.073,149.695,75600000000000.0,1348,202107.848473333,1348
2010-01-03 18:00:00,3036,149.767853333333,149.83,149.662,149.985,149.582,75600000000000.0,3036,454695.20272,3036
2010-01-03 19:00:00,5367,149.721236666667,149.662,149.737,149.877,149.441,75600000000000.0,5367,803553.87719,5367
2010-01-03 20:00:00,4947,149.720786666667,149.737,149.578,149.831,149.577,75600000000000.0,4947,740668.73164,4947
2010-01-03 21:00:00,3022,149.557305,149.577,149.608,149.676,149.422,75600000000000.0,3022,451962.17571,3022
2010-01-03 22:00:00,2734,149.393731666667,149.609,149.21,149.609,149.057,75600000000000.0,2734,408442.462376667,2734
2010-01-03 23:00:00,2543,149.24866,149.21,149.209,149.3,149.131,75600000000000.0,2543,379539.34238,2543
2010-01-04 00:00:00,2539,149.322758333333,149.204,149.457,149.474,149.142,75600000000000.0,2539,379130.483408333,2539
2010-01-04 01:00:00,5046,149.481661666667,149.457,149.689,149.689,149.28,75600000000000.0,5046,754284.46477,5046
2010-01-04 02:00:00,6491,149.686193333333,149.676,149.75,149.95,149.467,75600000000000.0,6491,971613.080926667,6491
2010-01-04 03:00:00,8502,149.956926666667,149.75,149.965,150.113,149.695,75600000000000.0,8502,1274933.79052,8502
2010-01-04 04:00:00,8347,150.126751666667,149.969,150.367,150.441,149.938,75600000000000.0,8347,1253107.99616167,8347
2010-01-04 05:00:00,6899,150.442985,150.363,150.313,150.701,150.134,75600000000000.0,6899,1037906.153515,6899
2010-01-04 06:00:00,6192,150.457255,150.311,150.507,150.598,150.311,75600000000000.0,6192,931631.32296,6192
2010-01-04 07:00:00,7712,150.1598,150.507,149.932,150.533,149.831,75600000000000.0,7712,1158032.3776,7712
2010-01-04 08:00:00,6378,149.884911666667,149.93,149.716,150.055,149.656,75600000000000.0,6378,955965.96661,6378
2010-01-04 09:00:00,7779,149.760935,149.717,149.628,149.88,149.536,75600000000000.0,7779,1164990.313365,7779
2010-01-04 10:00:00,11189,149.218555,149.628,148.85,149.885,148.635,75600000000000.0,11189,1669606.411895,11189
2010-01-04 11:00:00,6657,148.962213333333,148.849,149.066,149.223,148.775,75600000000000.0,6657,991641.45416,6657
2010-01-04 12:00:00,3786,149.261818333333,149.072,149.459,149.459,148.983,75600000000000.0,3786,565105.24421,3786
2010-01-04 13:00:00,2691,149.243855,149.459,149.065,149.478,149.055,75600000000000.0,2691,401615.213805,2691
2010-01-04 14:00:00,2120,149.082136666667,149.065,148.989,149.151,148.98,75600000000000.0,2120,316054.129733333,2120
2010-01-04 15:00:00,2228,148.980176666667,148.987,149.049,149.053,148.889,75600000000000.0,2228,331927.833613333,2228
2010-01-04 16:00:00,1387,148.909375,149.044,148.695,149.057,148.69,75600000000000.0,1387,206537.303125,1387
2010-01-04 17:00:00,966,148.797828571429,148.685,148.684,148.94,148.623,70560000000000.0,966,143738.7024,966
2010-01-04 18:00:00,2011,148.852413559322,148.684,148.989,149.073,148.64,74340000000000.0,2011,299342.203667797,2011
2010-01-04 19:00:00,4424,148.956018333333,148.99,148.729,149.138,148.681,75600000000000.0,4424,658981.425106667,4424
2010-01-04 20:00:00,5119,148.377185,148.735,148.34,148.759,148.177,75600000000000.0,5119,759542.810015,5119
2010-01-04 21:00:00,3730,148.350518333333,148.348,148.445,148.483,148.25,75600000000000.0,3730,553347.433383333,3730
2010-01-04 22:00:00,2306,148.31834,148.449,148.244,148.491,148.178,75600000000000.0,2306,342022.09204,2306
2010-01-04 23:00:00,6531,148.011059322034,148.244,147.52,148.287,147.406,74340000000000.0,6531,966660.228432203,6531
2010-01-05 00:00:00,3422,147.78596,147.514,147.897,148.009,147.355,44100000000000.0,3422,505723.55512,3422
2010-01-05 01:00:00,2273,148.012296774194,147.9,148.141,148.209,147.865,39060000000000.0,2273,336431.950567742,2273
2010-01-05 02:00:00,1040,148.014708333333,148.079,148.068,148.147,147.901,15120000000000.0,1040,153935.296666667,1040
