datetime,v,vw,o,c,h,l,t,n,hourly_vwap,hourly_liquidity,fd
2011-11-08 18:00:00,2176.83333333333,0.927984868173258,0.927983333333333,0.927725,0.92969,0.92644,79027046666666.7,2176.83333333333,2019.90839393126,2176.83333333333,669794.871794877
2011-11-09 00:00:00,10748.5,0.926305555555556,0.926508333333333,0.925886666666667,0.92979,0.91992,79248465000000.0,10748.5,9945.471485,10748.5,1089007.09219858
2011-11-09 06:00:00,16210.0,0.9236975,0.923681666666667,0.923693333333333,0.92559,0.92084,79249755000000.0,16210.0,14972.0057980556,16210.0,3412631.57894735
2011-11-09 12:00:00,7456.66666666667,0.923003752354049,0.922986666666667,0.92237,0.92535,0.92013,79030900000000.0,7456.66666666667,6886.0668451742,7456.66666666667,1428480.20434227
2011-11-09 18:00:00,3473.0,0.923608611111111,0.923005,0.92409,0.92784,0.92037,79252331666666.7,3473.0,3208.34309694444,3473.0,464926.372155289
2011-11-10 00:00:00,11863.1666666667,0.920682777777778,0.921181666666667,0.919666666666667,0.92839,0.91632,79253621666666.7,11863.1666666667,10907.8775233333,11863.1666666667,982863.849765256
2011-11-10 06:00:00,15335.6666666667,0.918854166666667,0.918858333333333,0.918875,0.92137,0.91524,79254948333333.3,15335.6666666667,14091.21851,15335.6666666667,2501740.07612834
2011-11-10 12:00:00,5017.16666666667,0.919438070175439,0.919205,0.919365,0.92084,0.91783,78595773333333.3,5017.16666666667,4612.56711820175,5017.16666666667,1666832.7796235
2011-11-10 18:00:00,3010.33333333333,0.919416111111111,0.919231666666667,0.91944,0.92064,0.91825,79257531666666.7,3010.33333333333,2767.59182833333,3010.33333333333,1259553.69595537
2011-11-11 00:00:00,7796.66666666667,0.91892,0.919093333333333,0.91905,0.921,0.91585,79258821666666.7,7796.66666666667,7164.87660111111,7796.66666666667,1513915.85760518
2011-11-11 06:00:00,9951.16666666667,0.920639444444445,0.920395,0.920616666666667,0.92357,0.91753,79260110000000.0,9951.16666666667,9164.09310833333,9951.16666666667,1647544.15011036
2011-11-11 12:00:00,3002.5,0.926291333333333,0.925384,0.926332,0.9281,0.92148,53060970000000.0,3002.5,3336.67459133333,3002.5,453549.848942593
2011-11-11 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-12 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-12 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-12 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-12 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-13 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-13 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-11-13 12:00:00,184.5,0.927596428571429,0.92889,0.92696,0.92954,0.92669,12331253333333.3,184.5,1026.84924642857,184.5,64736.8421052627
2011-11-13 18:00:00,3981.66666666667,0.928096016949153,0.92782,0.92769,0.93107,0.92634,79052885000000.0,3981.66666666667,3695.54532726459,3981.66666666667,841789.992952801
2011-11-14 00:00:00,8200.83333333333,0.92562,0.92559,0.92546,0.92764,0.92173,79274376666666.7,8200.83333333333,7591.84137194444,8200.83333333333,1387619.8533559
2011-11-14 06:00:00,12287.6666666667,0.925624166666667,0.925666666666667,0.925471666666667,0.92752,0.92393,79275665000000.0,12287.6666666667,11373.9725822222,12287.6666666667,3422748.37511608
2011-11-14 12:00:00,4705.5,0.924588055555556,0.924368333333333,0.924666666666667,0.92734,0.92274,79276955000000.0,4705.5,4348.47072805556,4705.5,1022934.78260868
2011-11-14 18:00:00,3993.5,0.927436111111111,0.927496666666667,0.92749,0.92895,0.92524,79278248333333.3,3993.5,3704.11657611111,3993.5,1076415.09433959
2011-11-15 00:00:00,10304.3333333333,0.928160277777778,0.927791666666667,0.928186666666667,0.93053,0.92549,79279576666666.7,10304.3333333333,9568.66238444445,10304.3333333333,2044510.58201061
2011-11-15 06:00:00,14181.0,0.929449722222222,0.929431666666667,0.929795,0.93187,0.92696,79280865000000.0,14181.0,13182.7125144444,14181.0,2888187.37270878
2011-11-15 12:00:00,5477.16666666667,0.931659307909605,0.93158,0.93162,0.93341,0.92986,79061925000000.0,5477.16666666667,5102.95318314972,5477.16666666667,1542863.84976528
2011-11-15 18:00:00,5255.66666666667,0.929468611111111,0.929705,0.928973333333333,0.93264,0.92644,79283443333333.3,5255.66666666667,4883.90739916667,5255.66666666667,847688.172043013
2011-11-16 00:00:00,11318.0,0.928515555555556,0.928358333333333,0.928716666666667,0.93091,0.92557,79284731666666.7,11318.0,10513.8612202778,11318.0,2119475.65543071
2011-11-16 06:00:00,14516.8333333333,0.928753888888889,0.928843333333333,0.92885,0.9303,0.92719,79286021666666.7,14516.8333333333,13481.9128766667,14516.8333333333,4667792.06859584
2011-11-16 12:00:00,6608.66666666667,0.928152598870057,0.928401666666667,0.927923333333333,0.93142,0.92562,79067105000000.0,6608.66666666667,6136.42060608757,6608.66666666667,1139425.28735632
2011-11-16 18:00:00,4572.66666666667,0.926244444444444,0.92597,0.926331666666667,0.92924,0.92382,79288643333333.3,4572.66666666667,4235.09903861111,4572.66666666667,843665.43665437
2011-11-17 00:00:00,12070.0,0.927959444444445,0.928228333333333,0.928041666666667,0.92979,0.92565,79289931666666.7,12070.0,11198.6885516667,12070.0,2915458.93719804
2011-11-17 06:00:00,16235.5,0.923911388888889,0.924583333333333,0.923713333333333,0.92729,0.92085,79291221666666.7,16235.5,14997.6068525,16235.5,2521040.37267081
2011-11-17 12:00:00,10402.0,0.919931781609195,0.920111666666667,0.920016666666667,0.92269,0.91743,78851993333333.3,10402.0,9564.33266418582,10402.0,1977566.53992394
2011-11-17 18:00:00,5529.5,0.9203275,0.920493333333333,0.920065,0.92227,0.91856,79293798333333.3,5529.5,5089.25697333333,5529.5,1490431.26684636
2011-11-18 00:00:00,13732.5,0.916970555555556,0.916905,0.916571666666667,0.91939,0.91304,79295115000000.0,13732.5,12587.7421080556,13732.5,2162598.42519682
2011-11-18 06:00:00,17773.3333333333,0.918783611111111,0.918405,0.91875,0.92179,0.91624,79296421666666.7,17773.3333333333,16331.6910594444,17773.3333333333,3202402.40240243
